Name,Description,Can_be_colored,Is_attack_sigil
Worthy Sacrifice,This card provides 3 [resource:blood] blood when sacrificed.,,
Hearty Offering,"When sacrificed, this card provides as much [resource:blood] blood as its current health.",,
Life Donor,"When sacrificed, this card loses 1 health for each [resource:blood] blood it provides instead of perishing.",,
Many Lives,This card does not perish when sacrificed.,T,
Nine Lives,"This card does not perish when sacrificed. After sacrificing it 9 times, search a ""TOKEN"" and place it over this.",T,
Lifeblood,"All other cards you control can be sacrificed, no matter what they say.",,
Blood Battery,"Every 4 [resource:energy] energy you spend in a single turn, gain a blood token. These can serve as substitute for 1 [resource:blood] blood when playing a card.",,
Unburial,"When played, gain 1 [resource:bone] bone.",,
Bone Digger,This card provides 1 [resource:bone] bone during your end step.,T,
Tomb Digger,This card provides 2 [resource:bone] bones during your end step.,T,
Mass Grave,This card provides 3 [resource:bone] bones during your end step.,T,
Scrounger,"When this card kills another, gain 1 [resource:bone] bone.",T,
Skull Taker,"When this card kills another, gain 3 [resource:bone] bones.",T,
Scavenger,"Each time an opposing card perishes, gain 1 [resource:bone] bone.",T,
Bone Leech,"Each time you gain a [resource:bone] bone due to [sigil:Scavenger] ""Scavenger"", gain another.",T,
Fracture,"When this card perishes by combat gain [resource:bone] bones equal to the damage it was dealt, including damage overflow.",T,
Bone King,"This card provides 4 [resource:bone] bones when it perishes, instead of 1.",,
Memoriam,"When another card you control perishes, gain an additional [resource:bone] bone.",T,
Loose Bones,"During your end step, move this card to an adjacent empty lane, generating 1 [resource:bone] bone.",,
Spine Walker,"During your end step, move this card to an adjacent empty lane, generating 2 [resource:bone] bones.",T,
Bonehorn,"During your play step, you may pay 1 [resource:energy] energy to gain 1 [resource:bone] bone.",T,
Battery Bearer,"When played, gain 1 max energy [resource:max_energy] and refill 1 [resource:energy] energy.",,
Dynamo,"During your draw step, gain 1 additional [resource:energy] energy and [resource:max_energy] max energy.",,
Generator,"During your end step, gain 1 [resource:max_energy] max energy.",,
Death Surge,"When this card perishes, gain 1 max energy [resource:max_energy] and refill 1 [resource:energy] energy.",,
Overclocked,"When this card kills another, gain 1 max energy [resource:max_energy] and refill 1 [resource:energy] energy.",T,
Fossil Fuel,"During your play step, you may pay 3 [resource:bone] bones to get 1 max energy [resource:max_energy] and refill 1 [resource:energy] energy.",T,
No Max Reduction,"While this card is on the field, your [resource:max_energy] maximum energy cannot decrease.",,
Green Gem,This card provides one [resource:green_gem] Green gem.,,
Orange Gem,This card provides one [resource:orange_gem] Orange gem.,,
Blue Gem,This card provides one [resource:blue_gem] Blue gem.,,
Prism Gem,This card provides one [resource:prism_gem] gem of any color.,,
Magnificent Gem,This card provides 3 [resource:prism_gem] gems of any colors.,,
Overcoat,All Mox cards you control provide a [resource:prism_gem] gem of any color.,,
Fragment Hoard,This card may be shattered to provide 2 shattered [resource:prism_gem] gems of any color.,,
Body of Dust,"When playing a card, each gem you shatter counts as 2 shattered gems.",,
Bloodless,This card cannot be sacrificed.,,
Boneless,This card does not drop a [resource:bone] bone when it perishes.,,
Gem Dependent,"If you control no other Mox cards, this card perishes.",,
Circuit Dependent,"If this card is not between two Conduit cards, it perishes.",T,
Familiar,"If you control no other sacrificeable cards that do not have this sigil, this card perishes.",T,
Annoying,The opposing card has 1 more power.,T,
Brittle,"If this card attacked this turn, it perishes during your end step.",T,
Salvation,"On its owner's second end step after this card was played, it is moved to the discard pile without perishing.",T,
Desecration,"When played, search any card from your deck and discard it.",T,
Rotting,"During your end step, this card loses 1 health and power.",T,
Primed Explosive,This card loses 1 health during your end step. Perishing from this counts as perishing by combat.,T,
Ravenous,"During your end step, this card loses 1 health unless you sacrifice a card to it.",T,
Dust Eater,"During your end step, this card loses 1 health unless you shatter a Mox card for it.",,
Defiler,"When this card perishes, discard the top card of your main deck.",T,
Death Sentence,"When this card perishes, its owner takes 12 direct damage.",T,
Airborne,This card attacks directly instead of the opposing card.,T,
Heavy Wings,"If this card has 3 power or less, it attacks the opposing space directly.",,
Falconry,"While on the field, Avian cards you control may choose to strike the opposing card or to strike directly when attacking.",T,
Aquanaut,"This card's strikes may ignore the [sigil:Waterborne] ""Waterborne"" sigil.",T,
Touch of Death,"When this card damages another, that card perishes.",T,
Bifurcated Strike,This card only strikes both adjacent spaces to the opposing space. Additional power only apply to the first strike.,T,
Split Strike,"When attacking, this card only strikes the lane left or right of the opposing space.",T,
Trifurcated Strike,"When attacking, this card strikes the opposing space and the spaces adjacent to it. Additional power only apply to the first strike.",T,
Double Strike,This card strikes twice when it attacks. Additional power only apply to the first strike.,T,
Sniper,This card may target any enemy space each time it strikes.,T,
Pack Tactics,"When another card sharing a tribe with this one is struck, this card strikes the card that struck it.",T,
Piercing,"When this card strikes another, half of the damage taken, rounded down, is also dealt directly.",T,
Sharp Piercer,"When this card strikes another, half of the damage taken, rounded down, is also dealt directly. If this card has 1 power, it is rounded up instead.",T,
Aggressive,"When played, the opposing card is dealt 1 damage.",T,
Sentry,"Once per turn cycle, after a card enters the opposing space, this card deals it 1 damage.",T,
Poisonous,"During your opponent's end step, the opposing card loses 1 health.",T,
Sharp Quills,"When a card damages this card, it is dealt 1 damage in return.",T,
Gem Instability,"When a card damages a Mox card, it is dealt 1 damage in return.",,
Deathtrap,"When this card perishes by combat if there is an card opposing it, it perishes and your opponent draws 1 card from their side deck.",T,
Croaking Trap,"When an Amphibian card you control perishes by combat, the card that killed it is dealt 3 damage.",T,
Detonator,"When this card perishes, it deals 5 damage to any adjacent cards. If it perished by combat, it also deals 5 damage to the opposing card.",T,
Gem Detonator,"When a Mox card you control perishes, it deals 5 damage to any adjacent cards. If it perished by combat, it also deals 5 damage to the opposing card.",,
Snake Eyes,"When this card perishes, roll a d6. A corresponding amount of damage is dealt to adjacent cards, and, if this card perished by combat, to the opposing card.",T,
Marrow Blast,"When this card perishes, it deals 5 damage to any adjacent cards. If it perished by combat, this also applies to the opposing card. You gain 1 [resource:bone] bone for each card killed this way.",,
Energy Gun,"During your play step, you may pay 2 [resource:energy] energy to deal 1 damage to the opposing card.",T,
Dive Bomb,"During your play step, you may sacrifice this card to deal damage equal to its current health to any card on the field.",T,
Yeetbot,"During your play step, discard a ""TOKEN"" from your hand to deal 3 damage to any card on the field.",T,
Fireball,"During your play step, shatter a Mox card you control to deal damage equal to 3 times its current power to any card on the field.",,
Mighty Leap,"If this card's space would be struck directly, this card takes the damage instead.",T,
Waterborne,Strikes targeting this card deal damage directly instead.,T,
Armored,"This card has an [mark:armor] Armor mark. When a card bearing it would take damage, the mark is removed instead.",T,
Dust Barrier,"When a Mox card you control perishes outside of combat, place an [mark:armor] Armor mark on this card. When it would take damage, the mark is removed instead.",,
Bastion,"When this card would take damage it only takes half as much, rounded up.",T,
Repulsive,This card cannot be attacked.,T,
Gem Guardian,"When played, place an [mark:armor] Armor mark on all Mox cards you control that don't have one. When they would take damage, their mark is removed instead.",,
Made of Stone,"This card's power cannot be reduced, and it ignores the [sigil:TouchofDeath] ""Touch of Death"" sigil.",T,
Burrower,"When an empty space on your side would be struck, this card moves to it first.",T,
Gem Intercept,"When a Mox card you control would be struck, you may first swap its position with this card's.",,
Taunt,Strikes targeting adjacent cards hit this one instead.,T,
Iron Wall,"When another Chess card you control is struck, this card receives the damage instead.",T,
Loose Tail,"The first time this card would be struck shift it to an adjacent empty space, then search and place a ""TOKEN"" in its old space.",T,
Evasion,"When this card would be struck, you may move it to an adjacent empty space first.",T,
Unkillable,This card returns to your hand when it perishes.,T,
Sprinter,"During your end step, move this card to an adjacent empty space.",T,
